RegionID,RegionName,SizeRank,Index,HistoricAverage_1985thru1999,X2018.03,X2018.06,X2018.09,X2018.12,lat,long,category
394913,"New York, NY",1,Rent Affordability,0.263953168,0.369574579,0.365094071,0.361297817,0.364065304,40.7127753,-74.0059728,Top 10
753899,"Los Angeles-Long Beach-Anaheim, CA",2,Rent Affordability,0.363006465,0.458153572,0.455997935,0.452068073,0.457333414,34.0522166,-118.2436619,Top 10
394463,"Chicago, IL",3,Rent Affordability,0.252812665,0.281037324,0.278819566,0.276464796,0.280691064,41.8781136,-87.6297982,Top 10
394514,"Dallas-Fort Worth, TX",4,Rent Affordability,0.217046172,0.277378388,0.275456836,0.273559364,0.277313657,32.7078751,-96.9209135,Top 10
394974,"Philadelphia, PA",5,Rent Affordability,0.213934226,0.269543954,0.267114744,0.264725908,0.267070723,39.9525839,-75.1652215,Top 10
394692,"Houston, TX",6,Rent Affordability,0.243419972,0.286717189,0.284909457,0.282941599,0.285539265,29.7604267,-95.3698028,Top 10
395209,"Washington, DC",7,Rent Affordability,0.177702406,0.251597656,0.250011351,0.248561454,0.249793147,38.9071923,-77.0368707,Top 10
394856,"Miami-Fort Lauderdale, FL",8,Rent Affordability,0.285234854,0.40378628,0.399950274,0.396376016,0.402189639,26.3013917,-80.6326916,Top 10
394347,"Atlanta, GA",9,Rent Affordability,0.192479715,0.250148788,0.249107717,0.247546951,0.251652809,33.7489954,-84.3879824,Top 10
394404,"Boston, MA",10,Rent Affordability,0.263983513,0.320284624,0.320038548,0.317916195,0.317693695,42.3600825,-71.0588801,Top 10
395057,"San Francisco, CA",11,Rent Affordability,0.306697406,0.387556722,0.385038164,0.381997459,0.382795562,37.7749295,-122.4194155,Top 50
394532,"Detroit, MI",12,Rent Affordability,0.199945913,0.240878879,0.2383256,0.236403731,0.239624601,42.331427,-83.0457538,Top 50
395025,"Riverside, CA",13,Rent Affordability,0.326563343,0.353551371,0.354097005,0.351671021,0.358469879,33.9806005,-117.3754942,Top 50
394976,"Phoenix, AZ",14,Rent Affordability,0.226699909,0.257535185,0.2573707,0.253654656,0.261874942,33.4483771,-112.0740373,Top 50
395078,"Seattle, WA",15,Rent Affordability,0.238216316,0.311934655,0.308177021,0.304759751,0.308505743,47.6062095,-122.3320708,Top 50
394865,"Minneapolis-St Paul, MN",16,Rent Affordability,0.212572738,0.250358895,0.249296405,0.247644534,0.251870346,44.9374831,-93.2009998,Top 50
395056,"San Diego, CA",17,Rent Affordability,0.346460155,0.38713143,0.384503818,0.381467332,0.38816009,32.715738,-117.1610838,Top 50
395121,"St. Louis, MO",18,Rent Affordability,0.212025524,0.21699106,0.21578913,0.214228417,0.214557458,38.6270025,-90.1994042,Top 50
395148,"Tampa, FL",19,Rent Affordability,0.276683842,0.310483406,0.312121178,0.310388907,0.314447894,27.950575,-82.4571776,Top 50
394358,"Baltimore, MD",20,Rent Affordability,0.269451842,0.266222169,0.265306031,0.263643776,0.263056252,39.2903848,-76.6121893,Top 50
394530,"Denver, CO",21,Rent Affordability,0.234870947,0.311629956,0.310814726,0.308660574,0.311457935,39.7392358,-104.990251,Top 50
394982,"Pittsburgh, PA",22,Rent Affordability,0.284128399,0.212683197,0.215278125,0.214081039,0.214469154,40.4406248,-79.9958864,Top 50
394998,"Portland, OR",23,Rent Affordability,0.234111771,0.298265999,0.294927456,0.292279461,0.293786285,45.5122308,-122.6587185,Top 50
394458,"Charlotte, NC",24,Rent Affordability,0.192971808,0.248078427,0.246705111,0.245159398,0.24928567,35.2270869,-80.8431267,Top 50
395045,"Sacramento, CA",25,Rent Affordability,0.318047038,0.318688554,0.316323517,0.313825461,0.318635152,38.5815719,-121.4943996,Top 50
395055,"San Antonio, TX",26,Rent Affordability,0.260608437,0.279077552,0.276695733,0.274137642,0.276732286,29.4241219,-98.4936282,Top 50
394943,"Orlando, FL",27,Rent Affordability,0.225817081,0.307545083,0.307518728,0.306014372,0.313973128,28.5383355,-81.3792365,Top 50
394466,"Cincinnati, OH",28,Rent Affordability,0.190692103,0.243133796,0.241362499,0.239992694,0.241814511,39.1031182,-84.5120196,Top 50
394475,"Cleveland, OH",29,Rent Affordability,0.228608381,0.258053404,0.255948897,0.254097725,0.255371229,41.49932,-81.6943605,Top 50
394735,"Kansas City, MO",30,Rent Affordability,0.174733632,0.236373215,0.233727347,0.231853466,0.234195055,39.0997265,-94.5785667,Top 50
394775,"Las Vegas, NV",31,Rent Affordability,0.239160957,0.265478478,0.26458267,0.262694519,0.271221461,36.1699412,-115.1398296,Top 50
394492,"Columbus, OH",32,Rent Affordability,0.2191767,0.241911495,0.243431324,0.241851713,0.242631236,39.9611755,-82.9987942,Top 50
394705,"Indianapolis, IN",33,Rent Affordability,0.217616044,0.237313161,0.234994817,0.233100135,0.236655203,39.768403,-86.158068,Top 50
395059,"San Jose, CA",34,Rent Affordability,0.261708348,0.345991367,0.343139203,0.34042938,0.341333669,37.3382082,-121.8863286,Top 50
394355,"Austin, TX",35,Rent Affordability,0.23074197,0.26663324,0.265901219,0.264549613,0.264620734,30.267153,-97.7430608,Top 50
395194,"Virginia Beach, VA",36,Rent Affordability,0.251182482,0.256968232,0.256440075,0.254833368,0.257919781,36.8529263,-75.977985,Top 50
394902,"Nashville, TN",37,Rent Affordability,0.208331235,0.272927572,0.271571308,0.270050919,0.271249357,36.1626638,-86.7816016,Top 50
395005,"Providence, RI",38,Rent Affordability,0.313306967,0.295371296,0.29555237,0.292920644,0.294338083,41.8239891,-71.4128343,Top 50
394862,"Milwaukee, WI",39,Rent Affordability,0.192472299,0.266452194,0.260763284,0.256919067,0.259545797,43.0389025,-87.9064736,Top 50
394714,"Jacksonville, FL",40,Rent Affordability,0.240031828,0.265638277,0.267360403,0.266082414,0.271134982,30.3321838,-81.655651,Top 50
394849,"Memphis, TN",41,Rent Affordability,0.206371998,0.25210533,0.251898615,0.250549385,0.253313673,35.1495343,-90.0489801,Top 50
394935,"Oklahoma City, OK",42,Rent Affordability,0.205708392,0.227684352,0.226456195,0.224831273,0.22425056,35.4675602,-97.5164276,Top 50
394807,"Louisville-Jefferson County, KY",43,Rent Affordability,0.198650622,0.242663708,0.242152893,0.240838257,0.239942581,38.2526647,-85.7584557,Top 50
394669,"Hartford, CT",44,Rent Affordability,0.273672459,0.264757428,0.259238491,0.255447719,0.259509587,41.7658043,-72.6733723,Top 50
395022,"Richmond, VA",45,Rent Affordability,0.232638123,0.240680456,0.239335166,0.238006734,0.240265672,37.5407246,-77.4360481,Top 50
394910,"New Orleans, LA",46,Rent Affordability,0.226794411,0.324260526,0.319881187,0.315788752,0.321662319,29.9510658,-90.0715323,Top 50
394425,"Buffalo, NY",47,Rent Affordability,0.348460372,0.251250382,0.250818449,0.248734086,0.251004651,42.8864468,-78.8783689,Top 50
395012,"Raleigh, NC",48,Rent Affordability,0.189235091,0.232568801,0.231585949,0.230295114,0.230452725,35.7795897,-78.6381787,Top 50
394388,"Birmingham, AL",49,Rent Affordability,0.191634496,0.23420702,0.232287065,0.230611428,0.237055507,33.5185892,-86.8103567,Top 50
395053,"Salt Lake City, UT",50,Rent Affordability,0.213294157,0.259421045,0.257518727,0.255807848,0.256845962,40.7607793,-111.8910474,Top 50
395031,"Rochester, NY",51,Rent Affordability,0.260675994,0.281862146,0.276849916,0.273942709,0.279103642,43.1565779,-77.6088465,Top 100
394640,"Grand Rapids, MI",52,Rent Affordability,0.257349804,0.256781299,0.255290756,0.253066914,0.254434849,42.9633599,-85.6680863,Top 100
395167,"Tucson, AZ",53,Rent Affordability,0.282387515,0.270293013,0.269944108,0.268035868,0.271258883,32.2226066,-110.9747108,Top 100
