"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"United States",0,,2100,2100,2095,2200,2000,1980,1950,1995,1950,2000,1850,1850,1895,1995,1995,1975,1950,1950,1850,1800,1800,1800,1800,1875,1950,1995,2050,1950,1900,1850,1800,1800,1800,1800,1800,1850,1895,1900,1900,1825,1900,1850,1850,1890,1850,1890,1850,1850,1850,1900,2000,2150,1995,1950,1900,1850,1850,1850,1900,1900,1980,1995,2000,2000,2000,2000,1995,1950,1950,1995,2000,2100,2195,2200,2200,2200,2195,2195,2100,2000,2000,1950,2000,2050,2100,2200,2200,2200,2200,2185,2100,2020,2011,2100,2150,2250,2300,2400,2400,2400,2375,2300,2200,2195,2195,2200,2300
"Los Angeles-Long Beach-Anaheim, CA",1,,3295,3500,3500,3500,3500,3500,3350,3300,3295,3400,3200,3200,3172.5,3300,3200,3200,3100,3100,3000,3000,3000,3000,3000,3000,2995,2850,2900,2995,2950,2850,2800,2700,2650,2600,2695,2750,2700,2700,2695,2750,2800,2750,2800,2780,2700,2850,2800,2750,2795,2800,2900,3000,3150,3100,3100,3100,3100,3150,3150,3192.5,3100,3200,3300,3300,3300,3350,3300,3300,3300,3300,3300,3395,3495,3400,3395,3500,3450,3300,3395,3300,3500,3256.5,3397,3500,3600,3685,3700,3695,3600,3600,3650,3600,3596.5,3550,3580,3600,3600,3700,3800,3800,3800,3750,3750,3700,3750,3750,3700
"Chicago, IL",2,2500,2300,2300,2300,2200,2300,2300,2100,2300,2200,2400,2100,2100,2150,2200,2400,2425,2350,2300,2200,2125,2000,2000,2000,2050,2100,2100,2100,2200,2176,2100,1995,1948,1834,1900,1850,1850,2000,1950,2100,2100,2200,2000,1955,1900,1850,1950,1895,1850,1895,1950,2150,2200,2200,2200,2195,2100,2100,2100,2093,2049,2100,2100,2250,2395,2300,2200,2100,2049,2000,1977.5,1995,1989,2099,2150,2245,2300,2300,2200,2000,1950,1950,1900,1850,1959,2000,2200,2350,2394.5,2400,2295,2150,2000,1995,2000,2000,2100,2250,2400,2550,2700,2500,2400,2300,2200,2211,2200,2265
"Dallas-Fort Worth, TX",3,,1495,1597.5,1825,1862.5,1800,1697.5,1700,1895,1775,1800,1675,1650,1650,1650,1695,1675,1650,1650,1600,1599,1595,1575,1595,1595,1600,1595,1600,1600,1600,1599,1595,1595,1595,1550,1575,1595,1595,1595,1625,1625,1650,1650,1650,1600,1595,1600,1600,1600,1600,1600,1695,1750,1775,1750,1700,1700,1725,1750,1750,1750,1795,1795,1800,1827.5,1850,1850,1850,1800,1800,1800,1800,1800,1850,1875,1895,1895,1895,1895,1875,1875,1895,1845,1875,1875,1900,1950,1995,1995,1995,1995,1995,1945,1900,1925,1900,1950,1950,1995,1995,2000,2000,1995,1995,1995,1995,1995,1995
"Philadelphia, PA",4,,,,,,,,,,,,,1900,1900,1950,2000,2000,1995,1950,1895,1845,1850,1950,1937.5,2000,2000,2000,2000,2000,1950,1925,1900,1950,1899.5,1885,1825,1995,2000,2000,2100,2100,2000,2000,1900,1900,1900,1999.5,1950,1900,1950,2000,2000,2000,2000,1950,1900,1900,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1995,1999,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1995,1950,2000,2000,1900,2000,2000,2000,2000,2000,2000,2000,1995,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2050,2100,2100,2100
"Houston, TX",5,,,1700,1762.5,2000,1797.5,1750,1650,1600,1600,1600,1695,1650,1650,1692.5,1700,1650,1600,1600,1585,1550,1600,1600,1595,1595,1650,1550,1550,1600,1600,1600,1597.5,1495,1519,1550,1550,1500,1600,1650,1695,1700,1710,1750,1750,1750,1700,1750,1709.5,1600,1600,1650,1795,1800,1875,1900,1850,1800,1800,1800,1800,1800,1850,1850,1900,1900,1900,1900,1900,1850,1875,1850,1825,1850,1895,1950,1895,1900,1850,1895,1850,1800,1795,1750,1800,1800,1800,1850,1850,1850,1850,1850,1850,1830,1820,1850,1800,1800,1850,1895,1900,1900,1900,1895,1850,1800,1800,1800,1825
"Washington, DC",6,,2300,2200,2300,2400,2450,2400,2300,2400,2400,2495,2400,2324,2300,2400,2450,2500,2495,2495,2475,2450,2400,2400,2400,2399.5,2400,2400,2495,2500,2500,2450,2439,2400,2400,2400,2350,2400,2395,2400,2400,2400,2500,2500,2500,2500,2475,2400,2400,2391.5,2350,2400,2500,2550,2600,2500,2500,2500,2500,2500,2475,2495,2500,2550,2600,2650,2600,2600,2550,2500,2500,2500,2500,2550,2600,2600,2600,2600,2600,2600,2500,2550,2500,2500,2500,2650,2600,2700,2750,2750,2795,2700,2700,2650,2600,2650,2695,2650,2600,2700,2800,2795,2760,2700,2600,2600,2600,2650,2600
"Miami-Fort Lauderdale, FL",7,,,,,,,2500,2500,2600,2500,2500,2450,2500,2500,2500,2500,2500,2500,2499,2450,2400,2400,2375,2400,2400,2400,2400,2410,2500,2400,2400,2400,2400,2400,2350,2350,2350,2400,2400,2450,2450,2500,2480,2490,2500,2500,2499.5,2450,2400,2400,2400,2495,2500,2500,2500,2500,2495,2500,2500,2500,2500,2500,2500,2550,2517.5,2600,2600,2600,2595,2600,2600,2600,2600,2650,2600,2650,2650,2600,2600,2500,2590,2600,2500,2550,2600,2638,2699,2700,2700,2700,2730,2730,2750,2750,2750,2750,2750,2750,2750,2799,2800,2800,2790,2767.5,2775,2777,2750,2755
"Atlanta, GA",8,,1495,1500,1500,1500,1550,1595,1550,1500,1500,1500,1400,1400,1400,1400,1450,1475,1400,1400,1395,1395,1350,1350,1300,1300,1350,1300,1350,1375,1350,1300,1300,1300,1300,1295,1292.5,1300,1300,1300,1300,1315,1350,1300,1340,1350,1300,1300,1300,1295,1295,1300,1350,1375,1375,1395,1375,1375,1395,1395,1395,1400,1425,1450,1495,1499,1495,1499,1469.5,1450,1450,1495,1495,1479.5,1495,1500,1545,1550,1550,1550,1550,1549,1555,1500,1550,1550,1595,1600,1650,1695,1695,1650,1645,1610,1600,1625,1645,1650,1650,1700,1712,1745,1720,1713,1699,1695,1695,1700,1700
"Boston, MA",9,,,,,,,,,,,,,,,,,2600,2600,2600,2500,2400,2500,2600,2900,2900,3000,3000,3000,2900,2900,2800,2800,2800,2800,3000,3200,3200,3200,3200,3200,3200,3200,3050,3000,3000,3000,3100,3200,3300,3300,3400,3300,3300,3250,3200,3200,3100,3200,3300,3600,3500,3500,3400,3400,3300,3300,3200,3200,3200,3250,3400,3600,3605,3600,3594.5,3500,3450,3400,3400,3350,3200,3200,3400,3750,3725,3675,3600,3600,3600,3600,3500,3400,3400,3500,3700,3800,3800,3800,3850,3800,3750,3600,3600,3500,3500,3600,3800,4000
"San Francisco, CA",10,,,,,,3750,3500,2950,2675,2397.5,2700,2300,2350,2300,2300,2400,2450,2470,2525,2400,2497.5,2450,2300,2250,2300,2495,2275,2299,2300,2300,2250,2200,2150,2150,2140,2159.5,2100,2090,2039,2100,2159,2200,2200,2295,2295,2275,2400,2395,2300,2300,2395,2495,2700,2800,2840,3075,2995,2950,3000,2900,2950,2900,3000,3300,3500,3550,3600,3500,3500,3295,3495,3465,3700,3850,3875,3650,3800,3900,3600,3500,3400,3500,3400,3500,3595,3600,3697.5,3795,3950,3897,3800,3800,3650,3650,3650,3600,3600,3700,3750,3900,3950,3900,3795,3762.5,3650,3600,3650,3700
"Detroit, MI",11,,2000,2200,2200,2000,2000,1999.5,2000,2000,2000,2000,1997.5,1900,1950,2000,2100,2150,2100,2100,2000,1685,1600,1750,1700,1700,1750,1800,1900,1950,1995,1850,1800,1800,1800,1750,1650,1750,1700,1675,1800,1900,1995,2000,1995,1989,1950,1900,1900,1850,1850,1885,2100,2000,2000,2000,2100,2100,2100,2000,2000,2000,2000,2172.5,2200,2200,2250,2200,2200,2100,2000,2125,2150,2125,2200,2200,2200,2200,2000,2200,2100,2000,2100,2000,2000,2000,2000,2172.5,2200,2200,2300,2200,2195,2197.5,2000,2000,1900,1900,1950,2000,2200,2200,2200,2200,2200,2100,2000,2100,2100
