"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"United States",0,,,,,,,,,,,,,2500,2500,2500,2500,2500,2500,2500,2400,2350,2400,2500,2500,2500,2600,2800,3000,2750,2592.5,2500,2400,2395,2395,2350,2400,2500,2500,2500,2500,2400,2500,2400,2400,2400,2350,2450,2500,2495,2450,2500,2700,2750,2625,2525,2500,2400,2395,2400,2500,2500,2600,2600,2595,2595,2600,2600,2500,2500,2500,2500,2700,2800,2895,2895,2900,2800,2850,2750,2800,2700,2600,2500,2700,2799.5,2850,2900,2900,2900,2900,2800,2800,2700,2700,2800,2950,3200,3200,3300,3200,3100,3000,2900,2800,2750,2800,2995,3300
"Los Angeles-Long Beach-Anaheim, CA",1,,,,,,,,,,,,,4500,4300,4500,4200,4050,4300,4300,4300,4400,4200,4500,4299,4299.5,4299,3900,3900,3975,3700,3600,3500,3000,2999.5,2900,3000,3200,3100,3195,3200,3300,3500,3400,3600,3450,3050,3500,3300,3200,3100,3200,3500,3750,3700,3850,3850,3800,3850,3700,3700,3800,3900,4097.5,4200,4200,4200,4200,4150,4038.5,3595,3600,3950,4000,4197.5,4000,4235,4242.5,4000,3950,4250,3900,4395,3900,3800,4000,4400,4250,4350,4500,4500,4400,4400,4295,4200,4200,3995,4250,4200,4325,4500,4500,4500,4495,4495,4295,4200,4350,4200
"Dallas-Fort Worth, TX",2,,,,,,,,,,,,,,2047.5,2150,2125,2200,2100,1995,1975,1950,1897.5,1900,1850,1820,1895,1895,1895,1900,2000,1995,1850,1975,2100,1850,1850,1895,1900,1950,1900,1945,1950,2000,1995,1950,1995,2000,1995,1995,1997.5,2050,2195,2200,2250,2219,2225,2195,2154.5,2175,2150,2200,2200,2300,2395,2400,2350,2300,2300,2400,2350,2350,2337.5,2395,2445,2399,2400,2450,2395,2495,2525,2400,2350,2337.5,2350,2300,2400,2475,2495,2495,2500,2500,2500,2475,2450,2447.5,2497.5,2500,2500,2500,2600,2600,2595,2562.5,2595,2500,2500,2500,2495
"Houston, TX",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2995,2975,2850,2750,2500,2500,2550,2600,2600,2600,2700,2775,2995,3100,3095,2875,2950,2975,2900,2875,2950,2950,2950,2900,2825,3000,2850,2950,2900,2650,2800,2700,2600,2600,2725,2750,2735,2700,2700,2800,2800,2800,2750,2699.5,2600,2795,2800,2850,2900,2795,2800,2650,2650,2700,2795,2700
"Washington, DC",4,,,,,,3500,3750,3325,3600,3295,3100,2995,3000,2947.5,3100,3147.5,3000,3147.5,3200,3000,2990,3000,2997.5,2950,3025,2997.5,3100,3199.5,3250,3250,3200,3050,2995,2850,2925,2900,2900,2997,2999,3050,3000,3200,3350,3287.5,3000,2975,2950,2900,2850,2800,2950,3250,3275,3200,3000,2999,2950,2945,2850,2900,2900,2950,3100,3187.5,3200,3200,3150,3095,3000,2995,3000,3000,3000,3097.5,3275,3250,3300,3400,3300,3300,3191,3000,3287.5,3200,3300,3400,3500,3450,3350,3375,3300,3297.5,3250,3200,3225,3050,3072.5,3275,3400,3420,3500,3400,3300,3200,3000,3200,3100,3225
"Miami-Fort Lauderdale, FL",5,,,,,,,,,,,,,,,,,,,3500,3600,3800,3800,3800,3800,3700,3990,3800,3800,3911,3850,3700,3600,3500,3400,3500,3500,3500,3500,3500,3500,3500,3550,3500,3500,3425,3350,3387,3200,3200,3200,3200,3400,3499,3500,3500,3499,3400,3500,3600,3600,3500,3550,4000,3800,3900,3800,3807,3750,3800,3800,3755,3727.5,3800,3850,3999.5,3875,4050,3995,3950,3995,3800,4200,3600,3950,3950,4000,4200,4000,4000,3995,4000,3900,3900,4000,3850,4000,4100,4200,4200,4000,4200,4300,4266.5,4100,4000,4200,4200,4050
"Atlanta, GA",6,,2000,2300,2300,2450,2497.5,2497.5,2300,2200,2200,2200,2097.5,2100,2000,2000,2195,2150,2150,2100,2000,2000,1995,1999.5,1900,1900,2000,2000,1995,1990,1950,1900,1795,1800,1795,1700,1700,1700,1700,1700,1700,1700,1700,1695,1700,1695,1600,1650,1600,1550,1550,1600,1795,1750,1750,1750,1800,1837,1825,1800,1800,1800,1800,1800,1895,2000,2016.5,2000,1950,1950,1895,1880,1900,1950,1950,2000,2000,1995,2000,2000,2099,2000,2100,1962.5,1892,1949,1995,2150,2175,2175,2200,2150,2100,1995,2000,2000,1995,2000,2095,2095,2132.5,2200,2195,2200,2150,2150,2150,2100,2100
"Boston, MA",7,,,,,,,,,,,,,,,,,,,,,,,,,3500,3650,3800,3900,3750,3650,3595,3699,3500,3600,3700,3900,3900,3800,3800,3800,3800,3800,3700,3600,3700,3700,3900,4000,4000,4050,4150,4000,3995,3900,3800,3900,3997,3899.5,4000,4200,4200,4100,4000,4000,3900,3800,3800,3700,3600,3799,4100,4400,4400,4300,4200,4200,4000,4000,4000,4000,3900,3750,4100,4500,4500,4400,4350,4300,4295,4200,4100,4100,3995,4200,4500,4750,4750,4600,4500,4500,4400,4250,4200,4100,4000,4400,4800,5000
"San Francisco, CA",8,,,,,,,,,,,,,,2200,2150,2250,2050,2295,2400,2500,2500,2495,2395,2350,2300,2495,2295,2300,2400,2395,2400,2325,2300,2300,2300,2380,2400,2387.5,2300,2295,2390,2400,2350,2450,2450,2350,2500,2525,2400,2465,2500,2600,2600,2800,2880,3150,3100,2995,3000,2800,2888,3200,2800,3272.5,3500,3600,3200,3200,3250,3500,3295,3500,3500,3650,3500,3600,3500,3900,3575,3400,3500,3200,3200,3225,3250,3200,3425,4000,4200,4050,3799,3750,3500,3500,3500,3400,3487.5,3495,3672.5,3672.5,3750,3600,3500,3500,3595,3795,3695,3500
"Detroit, MI",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2350,2400,2500,2350,2400,2625,2500,2500,2750,2625,2500,2647.5,2200,2225,2400,2500,2500,2400,2350,2350,2500,2200,2200
"Riverside, CA",10,,,,2800,2600,2500,2550,2500,2700,2500,2495,2200,2225,2200,2265,2300,2300,2200,2150,2150,2150,2150,2100,2100,2195,2150,2000,1995,2000,2099.5,2050,2000,2012.5,2100,2025,2069,2100,2100,2050,2095,2000,2100,2100,2100,2100,2000,2050,2100,2100,2100,2100,2190,2195,2200,2195,2195,2150,2150,2175,2200,2200,2295,2300,2300,2300,2300,2300,2345,2350,2350,2350,2400,2300,2350,2377.5,2300,2350,2350,2350,2350,2395,2400,2400,2400,2495,2595,2595,2600,2595,2599,2600,2650,2595,2670,2650,2649,2700,2700,2750,2787.5,2700,2700,2700,2750,2690,2700,2700,2695
"Seattle, WA",11,,,,,,,,,,,,1650,1795,1995,1995,2195,2185,2100,1995,2200,2162.5,1995,2000,2000,1900,1875,1862.5,1800,1985,1950,1995,1895,1875.5,1797.5,1895,1895,1899.5,1895,2125,1950,2100,1950,1995,1950,1950,1912.5,1937.5,1950,1899,1899.5,1995,2095,2050,2100,2200,2200,2145,2100,2000,2099,2100,2100,2200,2225,2250,2290,2475,2400,2475,2300,2250,2300,2265,2384.5,2300,2395,2400,2595,2450,2500,2400,2395,2500,2495,2600,2882,2810,2895,3000,3100,2950,2825,2630,2595,2537.5,2595,2700,2795,2800,2900,2995,2999,2982.5,2980,2865,2850,2850,2900
"San Diego, CA",12,,,,,,,,,,,,,,,4000,3800,3800,3850,4000,3800,3800,3625,3500,3900,3800,3950,3500,3650,3800,3500,3400,3400,3295,3100,3250,3200,3499,3150,3499,3500,3400,3500,3499.5,3500,3400,3399.5,3572.5,3550,3500,3500,3500,3950,4000,4000,3800,3950,3981.5,3995,3995,3950,4000,3950,3995,3800,3900,3695,3750,3790,3800,3800,3797.5,3997.5,4000,4200,4200,3997.5,3925,3725,3695,3800,3800,3950,3800,4097.5,4500,4500,4400,4500,4450,4400,4500,4375,4295,4297.5,4200,4500,4600,4525,4300,4500,4575,4500,4500,4300,3995,4295,4500,4500
"Tampa, FL",13,,,,,,,,,,,,,2100,2000,1995,2150,2192.5,2100,1962.5,1962.5,1900,1962.5,2000,1925,1872.5,1900,1885,1975,1925,1975,2050,2050,1972.5,2000,1875,1850,2000,1995,2000,1997.5,1950,1900,2095,1999.5,1995,1900,1950,1925,1950,1950,1977,2000,2012.5,2100,2095,2000,2000,1997.5,1995,1997,2000,2000,2150,2100,2150,2100,2100,2150,2070,2012.5,2050,2122.5,2025,2050,2082,2050,2195,2124.5,2172.5,2250,2000,2297.5,2115,2200,2150,2200,2200,2300,2200,2149.5,2195,2200,2195,2199.5,2195,2195,2200,2200,2250,2295,2250,2300,2345,2200,2195,2200,2200,2245
"Denver, CO",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,3000,2545,2350,2250,2250,2295,2295,2299,2347,2395,2347.5,2200,2395,2400,2400,2395,2400,2400,2300,2400,2395,2295,2295,2447.5,2485,2495,2647.5,2550,2500,2500,2500,2395,2400,2395,2495,2550,2499.5,2472.5,2495,2425,2400,2400,2500,2497.5,2495,2495,2497.5,2550,2495,2575,2500,2400,2372.5,2325,2150,2252.5,2395,2350,2495,2450,2495,2450,2397,2395,2400,2472.5,2400,2495,2400,2500,2600,2500,2425,2495,2400,2500,2500,2400,2300,2495
"Pittsburgh, PA",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1195,1200,1180,1150,1200,1200,1200,1200,1200,1200,1137.5,1200,1300,1200,1210,1300,1200,1285,1290,1200,1200,1200,1212.5,1300,1350,1350,1490
"Portland, OR",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2047.5,2110,2195,2145,2195,1800,1995,2100,1995,2197.5,2320,2500,2495,2395,2295,2295,2200,1950,2200,2200,2197.5,2295,2395,2395,2195,2150,2095,1800,1950,2195
"Charlotte, NC",17,,,,,,,,,,,,2250,2199,2197.5,1997.5,1995,1995,2100,1900,1875,1825,1800,1900,2000,1800,1800,2100,2200,2000,2095,2192.5,2300,2000,2025,1975,1850,2050,1950,1897.5,1900,1899.5,1900,1900,1950,1900,1972.5,1995,1875,1862.5,1900,1895,1850,2050,2112.5,2000,2000,1995,1995,2000,2045,1997,2025,2100,2050,2150,2050,2025,2004.5,2050,2072.5,2100,2140,2100,2175,2175,2150,1979,2200,2195,2125,2112.5,2199.5,2050,2099,2099,2109,2225,2200,2184,2199,2100,2095,2095,2095,2045,2025,2032.5,2050,2095,2099,2172.5,2197.5,2200,2200,2200,2125,2125,2175
"Sacramento, CA",18,,,,,,,,,,,,,,,,,,,,,,1722.5,1795,1750,1722.5,1750,1750,1825,1850,1850,1797.5,1795,1850,1825,1800,1795,1800,1795,1795,1825,1895,1850,1862.5,1800,1825,1850,1800,1900,1895,1895,1895,1900,1995,1997.5,1995,2050,2097.5,2000,1995,1995,2100,2000,1995,1995,2197.5,2200,2195,2100,2095,2195,2095,2095,2100,2190,2200,2195,2195,2297.5,2197.5,2225,2185,2200,2362.5,2200,2295,2380,2295,2395,2450,2400,2395,2385,2395,2320,2300,2325,2495,2495,2450,2500,2547.5,2495,2469.5,2450,2500,2425,2495,2495
"San Antonio, TX",19,,,,,,,,,,,,,,1750,1847.5,1925,1947.5,1995,1950,2200,2197.5,1900,1862.5,1885,1995,1995,1997.5,2148,1950,1850,1850,1850,1800,1795,1795,1900,1850,1972.5,2000,1995,2150,1995,1850,1897.5,1900,1872.5,1975,1850,1750,1750,1795,1900,1897.5,1875,1900,1900,1772.5,1750,1850,1872.5,1800,1995,2000,1960,1995,1995,2100,1850,1750,1749,1750,1850,1900,1997.5,1995,1900,1950,2045,1855,2100,1800,1850,1900,1995,1995,2000,2000,2000,1995,2000,1995,1990,1995,1995,2095,1995,2000,2000,1995,1975,1992.5,2125,1972.5,1995,1900,1875,1900,1900
