"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"United States",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1800,1800,1785,1750,1800,1800,1800,1850,1924,1895,1850,1875,1825,1800,1875,1900,1900,1917,1950,1975,2000,2000,1950,1900,1900,1950,2050,1750,1800,1750,1795,1800,1849,1850,1826,1795,1750,1700,1675,1650,1650,1700,1750,1800,1820,1830,1850,1800,1799,1750,1750,1713.5,1750
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,2500,2550,2595,2600,2600,2650,2695,2700,2700,2699,2700,2700,2700,2650,2700,2750,2750,2795,2800,2800,2800,2800,2850,2750,2750,2700,2700,2750,2799,2850,2850,2500,2500,2500,2500,2500,2475,2476,2500,2500,2600,2600,2600,2550,2600,2598,2555,2500,2500,2500,2500,2500,2500,2550,2595,2596,2595,2600,2650,2600,2450,2500,2495,2450,2499,2500,2500,2550,2590,2500,2499,2450,2400,2400,2400,2401,2499,2500,2567,2600,2595,2525,2500,2490.5,2450,2450
"Los Angeles-Long Beach-Anaheim, CA",2,,1672.5,1800,1672.5,1695,1800,1795,1695,1600,1600,1695,1550,1552.5,1550,1500,1500,1475,1495,1575,1495,1400,1395,1385,1400,1400,1430,1425,1400,1395,1400,1400,1410,1400,1395,1350,1400,1400,1400,1450,1495,1450,1450,1450,1450,1450,1425,1481.5,1450,1400,1407,1450,1550,1525,1600,1595,1550,1595,1595,1600,1600,1600,1675,1695,1625,1695,1695,1750,1700,1750,1850,1885,1995,2000,2099,2095,2125,1930,1975,1795,1800,1850,1775,1795,1895,1975,1995,2045,1999,1995,1995,1975,1950,1995,1950,1973,1900,1945,1975,1995,1995,1995,1995,1996,1995,1995,1995,1995,2000
"Chicago, IL",3,,1250,1295,1300,1200,1200,1232.5,1300,1345,1375,1350,1310,1320,1345,1399,1400,1456,1400.5,1395,1400,1395,1389,1389,1300,1261,1300,1363,1450,1475,1475,1467,1400,1425,1420,1450,1460,1525,1495,1500,1585,1563,1550,1584,1550,1500,1540,1600,1550,1495,1500,1500,1495,1525,1650,1595,1612,1630,1659,1500,1595,1757,1581,1599,1650,1650,1688,1600,1805,1917,2096.5,1850,1700,1830,1550,1495,1500,1525,1480,1485,1450,1405,1460,1480,1426,1450,1450,1475,1490,1495,1500,1525,1550,1595,1599,1600,1575,1595,1600,1630,1650,1695,1700,1695,1700,1634,1650,1600,1665
"Dallas-Fort Worth, TX",4,,,,,,,,,,,,850,870,874,870,870,870,869,850,850,850,830,795,899,950,975,989,990,950,828,795.5,795,795,810,825,825,819.5,839,845,850,865,895,900,909.5,920,900,975,1103.5,1100,1115,1100,975,985,947,1024,995,1005,1137,1231,1200,1120,1100,1099,1075,975,930,950,917.5,950,965,975,995,1050,1075,1095,1100,1095,1079.5,1095,1100,1050,1050,995,1100,1100,1099,1125,1150,1150,1150,1190,1195,1150,1127,1145,1145,1150,1147,1100,1100,1100,1150,1145,1100,1125,1137.5,1100,1118
"Philadelphia, PA",5,,950,895,950,950,900,900,949.5,1000,1000,962.5,950,950,950,995,950,962.5,950,995,1025,950,925,900,950,1000,1075,1000,1000,995,980,962.5,950,925,935,915,921,950,1000,1025,1100,1175,1150,1150,1100,1095,1125,1125,1050,1055,1095,1100,1200,1200,1195,1200,1150,1200,1200,1200,1200,1200,1250,1295,1275,1300,1295,1200,1250,1250,1300,1250,1250,1250,1250,1300,1300,1250,1250,1195,1159.5,1184.5,1195,1200,1200,1200,1250,1295,1295,1300,1300,1275,1257.5,1250,1250,1200,1200,1200,1250,1299,1300,1295,1300,1283.5,1202.5,1200,1285,1250,1250
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1127,1243,1085,1045,1055,1200,1202,1214.5,1265,1245.5,1300,1150,1150,1150,1150,1200,1175,1125,1100,1115,1100,1100,1122.5,1150,1100,1180,1150,1177.5,1100,1150,1119.5,1150,1100,1119.5,1100,1065,1050,1050,1000,1050,1095,1095,1095,1075,1075,1090,1075,1050,1050,1067,1068,1050,1068,1068,1068,1037.5,1040,1000,1025,1050,1050,1025
"Washington, DC",7,,,,,,,,,,,,,,,,,,,,,,,,,,1885,1895,1937.5,1908,1600,1600,1568,1500,1550,1499.5,1524,1580,1595,1595,1580,1617,1652,1650,1625,1600,1675,1650,1600,1600,1600,1600,1625,1650,1670,1670,1650,1650,1625,1650,1650,1650,1650,1695,1695,1700,1700,1700,1685,1685.5,1725,1750,1750,1795,1750,1792.5,1955,1800,1895,1697.5,1650,1650,1670,1700,1732,1700,1750,1785,1795,1800,1800,1800,1705,1707.5,1700,1750,1795,1750,1750,1750,1800,1800,1800,1800,1830,1845,1850,1849,1850
"Miami-Fort Lauderdale, FL",8,,,,,,,,,,,,,,,,,,1300,1300,1300,1300,1300,1300,1350,1399,1400,1350,1334,1350,1300,1340,1300,1250,1275,1275,1300,1300,1350,1384,1350,1400,1500,1600,1600,1600,1650,1700,1700,1700,1700,1700,1800,1625,1600,1575,1600,1700,1625,1685,1650,1700,1750,1650,1600,1650,1677.5,1650,1650,1650,1700,1750,1800,1790,1822.5,1750,1751,1800,1800,1700,1750,1898,1900,1800,1800,1800,1850,1850,1900,1898,1875,1900,1900,1870,1850,1850,1900,1850,1890,1900,1900,1900,1850,1900,1882.5,1850,1850,1825,1850
"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,964,900,905,909,850,750,750,725,725,725,725,700,700,725,750,765,800,834,850,930,970,950,1000,1000,995,1000,1050,1100,1000,1000,1000,1000,1050,1025,1000,1062,1097.5,1100,1100,1050,1100,1000,1048,1000,995,960,984,1006,1100,1100,1100,1225,1200,1223.5,1205,1250,1090,1025,995,985,1000,1085,1175,1185,1200,1200,1191.5,1130,1125,1135.5,1150,1200,1101,1182.5,1227.5,1200,1205,1267.5,1295,1295,1200,1150,1150,1195
