"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"United States",0,,1475,1500,1495,1500,1460,1400,1288,1300,1300,1325,1265,1300,1400,1500,1500,1500,1500,1500,1450,1300,1260,1300,1300,1304,1361,1422,1500,1440,1425,1400,1397,1375,1365,1363,1315,1425,1475,1490,1500,1475,1562,1595,1700,1800,1700,1799,1795,1790,1795,1800,1900,1947,1695,1650,1650,1625,1600,1595,1600,1650,1650,1650,1700,1695,1700,1700,1650,1650,1595,1600,1649,1675,1695,1695,1696,1690,1705,1695,1650,1700,1739,1595,1625,1595,1600,1624,1600,1600,1600,1600,1575,1550,1550,1566,1576,1595,1600,1625,1650,1650,1650,1650,1614,1600,1599,1600,1625
"New York, NY",1,,1850,2000,1950,2100,1975,1900,1850,2000,1950,2100,2000,1995,2295,2395,2400,2400,2500,2595,2500,2475,2400,2370,2395,2450,2495,2500,2550,2595,2600,2625,2650,2685,2675,2650,2600,2700,2700,2700,2795,2800,2750,2750,2795,2800,2700,2700,2695,2700,2700,2700,2775,2850,2405,2400,2400,2400,2400,2350,2375,2400,2400,2470,2500,2495,2450,2499,2490,2400,2400,2400,2395,2400,2400,2450,2499,2500,2500,2500,2500,2575,2535,2300,2395,2350,2350,2400,2400,2450,2450,2445,2400,2355,2310,2300,2300,2300,2340,2400,2400,2450,2450,2450,2400,2395,2350,2349,2325
"Los Angeles-Long Beach-Anaheim, CA",2,1875,1850,1921.5,1950,1995,2095,2100,1825,1835,1800,1850,1725,1725,1750,1800,1850,1850,1850,1858.5,1800,1675,1559,1550,1575,1595,1600,1600,1600,1600,1600,1626,1650,1625,1610,1580,1590,1650,1675,1654,1695,1682,1682,1677,1750,1770,1650,1795,1789,1750,1745,1750,1850,1850,1895,1900,1915,1950,1950,1965,1975,1995,1995,2000,2000,2035,2045,2075,2085,2095,2095,2095,2102,2145,2175,2150,2160.5,2150,2130,2106,2150,2100,2140,2095,2150,2250,2290,2295,2275,2280,2283,2260,2260,2255,2250,2235,2200,2250,2250,2264,2295,2300,2325,2355,2350,2350,2360,2360,2350
"Chicago, IL",3,,1295,1295,1275,1287.5,1250,1250,1295,1395,1384.5,1400,1350,1350,1350,1410,1440,1445,1400,1401,1405,1395,1350,1360,1364,1350,1349,1325.5,1350,1380,1395,1400,1425,1450,1400,1418,1400,1508,1484,1495,1524,1550,1560,1560,1550,1515,1525,1578,1536,1500,1500,1500,1550,1593,1650,1550,1650,1650,1600,1490,1510,1625,1550,1550,1575,1575,1570,1550,1600,1635,1689,1600,1592,1650,1575,1565,1593,1585,1550,1525,1506,1500,1500,1500,1500,1510,1545,1562,1595,1599,1595,1595,1600,1595,1595,1595,1590,1597,1609,1645,1650,1650,1650,1650,1650,1615,1630,1640,1660
"Dallas-Fort Worth, TX",4,,,,,,,,,1155,1082.5,1155,1005,940,940,906,904.5,925,925,812.5,825,800,795,835,849,880,916,885,900,915,900,899,915,919,935,1000,1100,996,1019,1015,1012,1038,1050,985,1095,1158,1180,1176,1175,1139,1149,1169,1113,1130,1099,1095,1075,1085,1130,1140,1150,1145,1124,1150,1146,1150,1154,1168,1179,1180,1195,1195,1200,1221,1250,1235,1239,1229,1219,1207.5,1272,1225,1211,1168.5,1256,1270,1290,1295,1300,1325,1315,1325,1303,1285,1316,1307,1305.5,1350,1352,1350,1375,1376,1385,1389,1384,1405,1400,1395,1389
"Philadelphia, PA",5,,1250,1200,1275,1350,1300,1300,1100,1100,1069,1050,1123,1150,1175,1250,1250,1250,1250,1200,1200,1100,1100,1150,1150,1190,1194,1220,1238,1225,1200,1200,1199,1150,1150,1125.5,1140,1200,1200,1200,1243,1210,1200,1200,1215,1200,1200,1200,1195,1200,1200,1200,1300,1300,1300,1300,1250,1259,1275,1250,1250,1250,1300,1330,1330,1325,1300,1300,1295,1295,1314.5,1295,1320,1330,1350,1350,1375,1350,1325,1310,1300,1319,1300,1320,1300,1350,1385,1400,1425,1400,1400,1409,1400,1390,1400,1395,1399,1395,1445,1455,1495,1475,1475,1475,1460.5,1455,1495,1490,1500
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025,1045,1030,960,995,996,1016,1069,1050,1155,1135,1261,1270,1260,1159,1278,1146.5,1097,1126,1254.5,1260,1259,1230,1245,1265,1200,1216,1210,1213,1250,1300,1300,1303,1300,1300,1319,1305,1395,1385,1400,1350,1375,1359,1360,1349,1325,1295,1295,1250,1221,1241,1269,1295,1292,1300,1304,1295,1286,1300,1310,1317,1344.5,1344,1339,1355,1367,1373,1370,1374,1369,1367.5,1359,1345,1347,1330,1324
"Washington, DC",7,1475,1500,1500,1500,1500,1500,1525,1505,1500,1500,1525,1550,1550,1550,1600,1600,1600,1672.5,1770,1825,1750,1650,1699,1700,1705,1755,1780,1810,1815,1790,1733.5,1740,1750,1778,1789,1795,1799,1802,1790,1702,1722.5,1725,1800,1800,1795,1775,1729,1750,1749,1724,1750,1800,1813,1850,1865.5,1815.5,1790,1795,1790,1790,1800,1800,1815,1810,1810,1800,1809,1815,1800,1780,1775,1795,1800,1810,1815,1800.5,1805,1795,1785,1750,1739,1740,1751,1800,1825,1850,1850,1855,1859,1855,1870,1837,1840,1845,1835,1840,1828,1845,1855,1879,1890,1881,1900,1860,1879,1874,1895,1909
"Miami-Fort Lauderdale, FL",8,,1700,1650,1600,1650,1600,1600,1650,1600,1600,1600,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1499,1475,1450,1475,1490,1450,1450,1500,1450,1475,1450,1425,1400,1450,1450,1450,1500,1500,1500,1550,1650,1645,1600,1650,1675,1700,1695,1650,1635,1600,1650,1650,1650,1618,1650,1650,1650,1645,1650,1699,1700,1700,1775,1800,1800,1828,1800,1800,1849,1841,1850,1850,1875,1800,1800,1800,1750,1725,1780,1768,1850,1700,1759,1775,1800,1800,1800,1800,1800,1800,1825,1809,1800,1800,1800,1836,1850,1875,1895,1890,1885,1890,1890,1900,1889,1870,1875
"Atlanta, GA",9,,1050,1050,1100,1112.5,1050,957.5,950,950,977,1049,950,994,995,977.5,975,975,965,950,962,875,860,877,862,900,890,875,897,897,895,925,899,899,897,887,875,897,903.5,920,925,945,950,950,999,1015,1000,1050,1067.5,1055.5,1075,1095,1100,1100,1100,1100,1100,1100,1123,1099,1119,1150,1150,1185,1200,1236,1220,1242,1244,1225,1300,1289,1293,1290,1300,1308,1200,1265,1259,1256,1300,1245,1240,1214,1285,1295,1320,1340,1351,1347,1339,1350,1348,1340,1344,1349,1359,1366,1379,1395,1418,1412,1435,1450,1430,1485,1480,1473,1482
