"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"United States",0,1300,1500,1495,1500,1500,1500,1500,1500,1450,1450,1450,1450,1350,1325,1350,1395,1400,1375,1355,1350,1300,1275,1295,1295,1300,1300,1350,1385,1395,1395,1400,1396,1385,1355,1360,1391,1363,1425,1450,1475,1450,1401,1450,1450,1495,1525,1500,1550,1500,1500,1500,1550,1600,1600,1500,1475,1495,1450,1400,1405,1450,1450,1495,1500,1500,1500,1500,1500,1495,1475,1450,1450,1475,1495,1500,1500,1500,1500,1500,1500,1500,1500,1550,1450,1475,1450,1495,1500,1500,1515,1510,1500,1500,1500,1495,1500,1495,1500,1500,1520,1550,1550,1550,1550,1520,1500,1500,1500,1500
"New York, NY",1,,2000,2000,2100,2000,2100,2000,1950,1950,2000,1950,2100,1950,1850,1950,1995,2000,2000,2095,2150,2100,2000,2000,2000,2000,2000,2050,2100,2125,2150,2150,2159.5,2150,2150,2150,2195,2150,2165,2150,2175,2200,2200,2200,2200,2237,2249,2250,2260,2250,2250,2250,2250,2300,2300,2250,2200,2200,2225,2200,2200,2275,2275,2300,2350,2380,2395,2350,2400,2395,2350,2300,2300,2300,2300,2300,2350,2300,2300,2300,2295,2300,2300,2300,2125,2200,2300,2310,2350,2400,2400,2400,2390,2400,2308,2300,2300,2300,2300,2300,2350,2400,2400,2400,2400,2350,2300,2300,2300,2300
"Los Angeles-Long Beach-Anaheim, CA",2,,,,,,,,,,,,,,1499,1400,1350,1387.5,1325,1395,1382.5,1297.5,1095,947.5,925,975,1010,1082,1070,1104.5,1065,1075,1095,1145,1119,1135.5,1100,1075,1140,1175,1180,1200,1199,1140,1177.5,1150,1185,999,1150,1150,1125,1099.5,1120,1200,1250,1295,1300,1300,1350,1358,1375,1370.5,1395,1400,1426,1395,1482.5,1495,1500,1525,1550,1515,1500,1615,1650,1665,1650,1695,1650,1769,1566,1630,1572.5,1602.5,1525,1550,1765,1850,1795,1755,1825,1885,1890,1890,1850,1800,1815,1795,1800,1800,1825,1850,1805,1831,1875.5,1863.5,1897.5,1899.5,1850,1850
"Chicago, IL",3,,1450,1450,1495,1495,1475,1475,1500,1520,1550,1550,1600,1500,1450,1375,1385,1400,1365,1350,1350,1356.5,1330,1300,1299,1275,1250,1250,1300,1300,1300,1350,1399,1399,1375,1388,1375,1385,1418,1400,1400,1440,1450,1450,1495,1500,1495,1450,1475,1481,1465,1450,1450,1500,1525,1575,1500,1587,1576,1500,1495,1520,1600,1545,1500,1528,1550,1526,1510,1540,1541,1545,1517,1502,1550,1500,1500,1500,1475,1470,1450,1450,1500,1500,1490,1495,1500,1492,1495,1500,1500,1500,1527.5,1550,1549,1525,1500,1500,1500,1495,1475,1490,1495,1500,1511,1495,1475,1475,1475,1500
"Dallas-Fort Worth, TX",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1094.5,930,900,895,900,950,950,900,900,945,950,895,930,993.5,1095,1195,1195,1150,1120,1100,1101,1100,1100,1139,1200,1235,1250,1195,1200,1206,1225,1225,1200,1250,1295,1295,1329.5,1321.5,1327,1250,1250,1200,1225,1209,1250,1300,1295,1350,1250,1282.5,1345,1202,1312.5,1295,1250,1295,1350,1350,1305,1295,1300,1295,1310,1319.5,1300,1297,1295,1320,1315,1310,1300,1300,1345,1350,1325,1325,1295,1310,1300,1305
"Philadelphia, PA",5,,1525,1537.5,1500,1500,1512.5,1550,1562.5,1500,1500,1500,1500,1400,1400,1400,1450,1450,1450,1500,1500,1500,1450,1400,1395,1300,1350,1350,1325,1350,1300,1350,1375,1350,1350,1300,1300,1250,1295,1300,1300,1300,1250,1275,1300,1350,1350,1275,1300,1298,1275,1300,1290,1375,1350,1400,1390,1375,1399.5,1375,1300,1350,1345,1350,1395,1400,1400,1350,1395,1375,1350,1375,1350,1382,1395,1400,1400,1381.5,1400,1350,1400,1375,1400,1400,1395,1350,1350,1375,1365,1378,1350,1360,1395,1395,1400,1400,1400,1400,1400,1420,1400,1400,1400,1439.5,1450,1450,1450,1500,1495,1454
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1095,1168,1155,1229,1210,1229,1250,1350,1400,1350,1450,1499,1499,1477,1500,1600,1638,1639,1600,1600,1595,1577.5,1595,1592.5,1575,1595,1600,1625,1675,1675,1650,1649,1600,1599.5,1600,1600,1600,1600,1620,1600,1600,1600,1595,1600,1550,1595,1500,1500,1500,1525,1575,1563,1584,1595,1600,1600,1575,1575,1575,1550,1550,1595,1615,1635,1650,1650,1625,1625,1600,1599,1595,1550
"Washington, DC",7,,1650,1700,1725,1750,1800,1880,1850,1800,1825,1800,1800,1800,1800,1800,1800,1875,1900,1900,1862.5,1895,1850,1800,1815,1800,1750,1765.5,1800,1800,1800,1808,1800,1795,1795,1790,1770,1765,1775,1797.5,1795,1785,1800,1800,1850,1850,1850,1800,1800,1795,1750,1750,1750,1800,1837.5,1825,1850,1850,1800,1800,1835,1850,1800,1824,1800,1809.5,1850,1850,1850,1850,1850,1800,1810,1800,1800,1825,1825,1850,1850,1850,1869.5,1800,1800,1800,1800,1813,1800,1829.5,1836.5,1875,1876,1900,1900,1860,1845,1830,1814,1825,1800,1800,1808,1850,1850,1880,1880,1850,1845.5,1825,1833,1816
"Miami-Fort Lauderdale, FL",8,,,,,,,,,,1600,1600,1750,1800,1797,1792.5,1750,1800,1800,1800,1800,1800,1750,1700,1700,1650,1600,1650,1600,1600,1600,1550,1600,1500,1600,1600,1600,1600,1650,1680,1650,1650,1695,1700,1750,1800,1800,1700,1800,1800,1800,1800,1750,1900,1900,1900,1850,1800,1800,1800,1800,1800,1800,1800,1850,1800,1800,1800,1850,1850,1850,1850,1848,1875,1850,1850,1860,1815,1850,1800,1800,1800,1800,1800,1750,1750,1800,1800,1819.5,1800,1850,1850,1899,1872,1850,1835,1820,1840,1800,1800,1825,1820,1850,1845,1822.5,1841,1800,1825,1815,1825
"Atlanta, GA",9,,,,,,,,,,,,,,1200,1250,1300,1297.5,1300,1250,1250,1200,1197,1100,1095,1050,1050,1050,1050,1100,1132,1132,1100,1100,1050,1050,1000,954,950,1000,1000,1100,1095,1099,1100,1150,1175,1147.5,1150,1150,1175,1150,1150,1185,1180,1200,1247.5,1200,1219,1200,1095,1050,1000,1050,1100,1100,1150,1200,1150,1170,1175,1200,1214,1210,1299.5,1325,1344,1350,1349,1350,1359.5,1305,1350,1320,1300,1300,1337,1350,1370,1377,1400,1395,1375,1360,1360,1385,1395,1400,1400,1400,1425,1440,1435,1440,1450,1425,1435,1460,1440,1450.5
