RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01
9,California,1,390300,372300,347800,331900,317200,305e3,290800,277900,264200,254300,243100,237100,228800,221900,216900,220800,230800,238500,244500,248400,255e3,260100,263200,264400,263800,262100,264300,264e3,266900,263200,265600,262300,261e3,257800,255800,256e3,253400,251800,246600,244600,243700,244300,245100,243700,244600,243300,246400,248e3,251600,256400,260300,265300,271400,278e3,287e3,291900,3e5,306400,310100,312100,316100,325500,335700,344900,353e3,357100,357900,358800,360900,364400,366e3,369e3,370600,372600,374600,374500,376800,377800,381100,381700,382400,381700,383900,389e3,393600,397400,396300,398800,399100,401700,401800,401400,404e3,407800,412900,412200,412100,412600,415100,416300,416800,417900,42e4,420400,421600,420100,422200,423500,428300,429800,432700,435900,438400,439500,441900,449200,46e4,464100,469700,475400,482800,485e3,483600,483200,483700,484300,485200,486900,488400,485100,
54,Texas,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184600,186400,186900,187200,185e3,184800,185400,186800,188500,189800,190900,191600,192500,194e3,195100,196300,197100,198600,199900,200900,201200,203200,203900,204600,203600,204100,204600,205400,206300,207200,208200,208500,209600,212600,214100,214800,214900,216900,219400,220400,222500,222600,220900,217e3,
43,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239900,245400,253600,262100,263e3,257500,251400,249900,244200,237200,218900,205e3,195300,195200,195200,196900,195600,197700,205900,208100,210600,211700,215200,217e3,218e3,219300,216400,213500,209300,216100,219800,228300,231800,235200,236200,233900,232900,232200,233e3,230400,227500,231700,232400,232400,227200,225e3,225900,226e3,227700,227300,227400,228600,229200,228900,227900,225200,228700,232800,237e3,239700,239300,237500,235100,239500,243500,242400,242800,244700,248500,247100,244600,246400,249e3,250700,257400,262300,272900,273700,274800,273200,270100,271900,273400,279200,283100,288900,293400,295100,298900,300300,301400,302200,299700,298400,296300,300300,,
14,Florida,4,206100,197300,190800,186600,184e3,180500,175600,169500,163600,156100,150300,144400,139e3,133100,127600,125200,126200,127400,129400,129e3,130600,130500,129800,128200,127e3,126500,124900,123700,120500,117600,115100,115200,116500,116700,114700,110800,108600,109700,112700,114100,115600,116100,116900,116300,116500,117700,119600,121e3,121500,122700,123900,125100,125200,125700,127100,128700,130700,132500,135e3,135700,136300,137800,139400,141200,142100,144800,147400,148400,150200,149900,15e4,147900,147600,147900,148600,149900,151700,152800,154100,155400,157300,158100,158200,159100,161500,164100,166600,167200,168e3,168200,170300,171200,172400,172900,175600,178500,18e4,180300,180400,182300,183800,185500,186400,188200,188900,189700,191400,194100,196700,197700,197800,198300,199600,200900,201800,202600,204200,207100,212600,218500,222800,221700,218e3,215700,214400,215600,217e3,219100,221600,222e3,
21,Illinois,5,211900,206900,193e3,183600,180100,180600,181600,180800,178300,175e3,169900,168500,165300,160900,154800,149500,151e3,155300,159300,161200,162e3,165400,168400,170600,166900,162100,156400,156400,156600,155900,151400,15e4,151100,152600,153200,151200,148600,142400,137700,136900,139500,142100,142300,140600,137900,137500,135800,134700,134200,135200,136400,137900,138700,141e3,139400,138600,139400,139200,140600,139200,139600,139100,142e3,146500,153800,157900,161200,163400,164200,165800,165100,167200,166400,165e3,163e3,164100,165500,167700,171800,173800,173900,171100,171500,174400,175600,176100,174200,173100,172600,168800,166600,162700,160400,157500,156400,157100,159300,162100,163600,165e3,164600,166800,165700,166e3,166700,169300,171400,172300,174800,175900,175800,172800,170500,169700,169100,170600,173100,175700,179600,183700,190600,192600,191700,191700,191900,189600,185400,183500,187400,185800,
47,Pennsylvania,6,147800,146100,144200,140900,140800,141600,142400,140900,139500,137200,136500,136e3,138500,138300,137300,135700,136e3,138e3,140600,141100,142700,143400,143600,143400,143900,144600,143800,14e4,138e3,135e3,134800,134700,136900,138300,140800,141400,14e4,136300,133200,132600,133100,133300,131800,131e3,131500,134600,137800,140100,139900,139600,139400,140400,140700,139600,138400,137700,140100,142300,143800,143500,143300,143300,143400,143800,145200,145500,145300,144400,143700,143600,143200,144300,144300,142600,141e3,140300,141100,142900,144200,144900,144300,144600,145500,145800,146500,146100,145600,145400,147e3,147800,148900,148200,147900,146400,147800,149100,148600,148400,148800,151200,151e3,151100,150900,152e3,153300,154e3,154400,154300,155400,156500,157700,158700,159200,158600,157700,158e3,159200,161e3,162900,163200,165100,163400,163500,161500,161400,161300,161100,161800,163900,164700,
44,Ohio,7,110700,106800,106100,105500,106100,105400,103400,100500,93800,88600,85900,84900,84900,85100,88800,93400,97600,100300,102900,105200,106500,105400,103300,102300,101900,100700,102200,103200,100500,95900,91300,91200,91400,94900,96200,92700,86600,83100,85500,89600,93300,94200,92800,91200,90200,91700,92e3,90400,89400,90200,95600,98400,102e3,102300,102300,101400,100800,101900,103900,102600,101600,98200,101800,104800,109400,110400,109700,107600,108100,107700,110300,109200,110900,110700,112600,114500,116300,117200,117600,117500,117e3,117600,117e3,118200,117800,117200,117300,117400,118800,118700,118900,118800,114900,113900,115600,120600,122300,122100,122300,122900,122800,122700,123e3,124300,125e3,125600,129300,130100,130700,127900,127500,127200,126500,127e3,128200,129800,130600,132100,136700,140600,140700,136700,133800,132200,131700,132700,134800,137e3,137500,139200,
30,Michigan,8,,,,,,,,,,,,,,,,,,,,,,,,70500,67600,67500,68900,69100,68100,63800,61700,59400,67800,69300,71700,64200,62700,59800,58400,58800,61300,63300,64300,63600,63e3,64400,65600,65900,63600,62900,64300,65900,68e3,69800,71300,70800,63800,65200,68200,78600,81900,84e3,85200,86400,91e3,94700,96900,96400,91400,90900,91400,95600,95500,95400,98100,102400,106300,108700,110200,109400,106900,103500,106e3,109700,115100,116600,118800,119800,119800,118800,118800,116400,120900,121300,125600,125400,128e3,128300,126900,126300,126100,126200,126100,129e3,154400,157600,158e3,136500,135500,136400,135100,135100,133300,133700,134300,137200,162800,166e3,167500,146e3,147500,146900,145500,142600,141700,141600,141900,141800,166600,169100,
16,Georgia,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108900,107800,104500,99800,94700,94900,95500,97200,96500,97e3,97500,97600,98200,99500,102200,103700,104500,105900,109500,113100,115600,116700,118800,120400,122800,125e3,128800,13e4,13e4,128800,128600,129e3,129400,129500,129100,129700,132300,135900,138600,139100,139400,139600,141500,143200,145e3,146400,151400,152900,154200,151300,152200,153900,155e3,155500,155600,157400,159200,16e4,159500,159500,159400,160200,159900,159800,160100,162200,163300,165200,166e3,169700,170100,170800,169e3,17e4,170500,172100,174e3,175600,177700,179500,183600,185500,187100,185800,185400,184300,183300,184700,185600,188900,188200,
36,North Carolina,10,155300,153500,149e3,147400,147500,147600,146700,147400,145e3,144500,143800,150300,152400,151e3,146700,145300,147200,148100,149200,149800,150200,149300,151300,153100,153700,150400,147300,147300,147500,147e3,147400,147800,149100,149600,150200,150700,148200,146700,145200,146600,146400,147800,146200,146300,144600,146300,146e3,148300,149200,150300,148700,148700,148300,148700,148100,148300,149900,151700,152600,152800,152e3,153e3,152200,152500,153e3,153600,154200,154200,154100,154900,154900,155100,153800,153300,154200,154100,154900,154400,155200,154900,155600,156800,159600,163400,165e3,165600,165e3,165900,166100,165300,164900,164e3,163500,163600,165100,165600,165100,165e3,165300,167100,166800,168700,169e3,171600,172200,172400,171600,171700,173500,174300,173300,173500,174700,175900,176400,177200,179e3,179900,182100,186400,191600,194200,194300,192500,191200,190600,191600,192100,192900,192300,
40,New Jersey,11,334100,334100,327e3,313500,306200,301600,299100,297800,299500,299400,295900,294e3,296900,295900,290600,281400,278e3,275700,273300,274500,275600,276e3,277300,280800,289e3,290500,286500,281100,277900,278e3,274300,273e3,273300,277700,279e3,280100,280100,279800,276500,273600,272100,269500,265900,261400,257700,256200,255500,257900,263e3,267800,268400,266900,265e3,265600,262700,262e3,261800,262200,263300,264100,266e3,267100,269200,271500,273e3,275900,276200,278100,275700,276600,278400,279700,285300,284e3,283900,278700,279400,280600,277300,274800,273300,276300,278300,278400,278900,280400,280600,280400,277200,275100,273e3,273300,275e3,273400,271300,271200,274e3,273700,270800,269700,272400,275500,278600,278300,278500,281200,28e4,279800,274800,275400,274600,271700,266600,264700,266700,269900,269900,269900,272200,274700,276900,280100,281300,281100,277e3,276900,274800,275300,273900,277300,
56,Virginia,12,249200,245200,237800,232100,231300,231600,231900,229200,224700,219100,217500,219e3,219700,216700,213e3,211600,213700,218700,223700,226500,224700,224500,226700,229200,229300,225400,220700,216700,220200,226900,232400,230900,228300,227900,225600,222600,216300,212700,208500,207400,212200,217800,222200,217e3,213500,211300,212600,213e3,215400,219900,224600,226700,229200,231100,235700,235300,240100,237900,239400,233300,233700,233400,237500,243300,244700,248e3,245700,246900,243900,241700,239400,238600,239400,240700,240100,240700,240100,241800,241100,242300,242200,245100,245700,248200,247300,247700,247700,247e3,247600,246100,245900,243500,240100,240200,242700,244900,244300,243600,243700,244500,245100,246300,246600,248100,248700,248500,25e4,252e3,252400,252100,251400,253300,255200,254900,254500,251700,252900,253200,256900,259300,262700,263e3,262300,262500,261200,260900,260300,259900,260700,260600,
59,Washington,13,284700,278800,269900,262500,258200,257500,255600,254700,252300,254200,255600,259600,255e3,249800,239300,237200,234800,236500,237800,239700,238900,240400,245200,251e3,250600,245900,240600,235900,238300,239700,242400,238100,237e3,239100,239200,241100,235700,231700,223800,218100,214600,213500,214100,213100,211800,213100,212600,212100,209200,213900,217700,224300,224700,227300,229200,232900,236200,239300,239e3,239700,240100,243800,245200,246200,246900,249e3,249900,249400,247800,247300,247600,250300,250600,251e3,249800,251500,254300,255900,257400,258200,257500,257800,258900,264800,267100,270800,271900,273400,272200,270700,272100,274900,277200,280800,282600,284800,286100,287600,289400,291100,293500,295800,297100,298700,301e3,303300,307600,31e4,313100,314400,315800,318300,319e3,321200,323200,326900,330500,334400,336700,345200,350400,356e3,352800,349700,346200,343100,343600,345400,348800,351600,
26,Massachusetts,14,314200,309900,297600,291800,288200,288100,285300,284200,275800,270300,262200,266500,264800,267100,262900,266800,269700,274900,276500,277e3,271400,275800,279600,29e4,289e3,288500,281700,282900,284600,291200,289800,288400,285800,284800,275300,266200,258300,261600,269500,279900,285900,286e3,284200,28e4,275200,271100,267700,270200,271400,276200,277300,283400,287700,286500,282100,279100,280600,284400,276600,279900,279600,292100,292500,298e3,300900,304400,305400,302900,298800,296e3,300300,312900,318800,320500,319e3,319400,320600,319e3,317100,316800,316e3,319200,321800,332100,333e3,329900,321900,320600,324400,326e3,326600,326700,325800,328100,327400,329e3,327e3,329e3,328400,330200,330400,331900,333100,335e3,337300,338e3,339100,341800,343800,345200,345200,347100,347900,347600,349700,353100,356300,357200,356500,367100,369300,374600,369100,372100,371100,370600,367900,369200,371900,370800,
